year,WI,WA,OR,OK,OH,NM,NJ,KS,IN,AK,TX,VA,CO,KY,CA,NE,PA,MD,GA,CT,FL,ID,IA,IL,MN,AL,NC,HI,AR
1979,0.0880614406779661,0.1310285277636271,0.12802928373565492,0.09440006915629322,0.10308731711862827,0.11708299758259468,0.11674713584288052,0.09830814689742508,0.09240055555555556,0.12460591133004927,0.11890564064251027,0.08783509717144507,0.14139718614718616,0.06416075985256592,0.15016377335213255,0.08008132147395172,0.07033594748955758,0.12661050855627862,0.10849765533411489,0.11574478330658106,0.15405835214446953,0.0851060773480663,0.08631450223906303,0.12078673196794301,0.08821206896551724,0.08494401698063146,0.08770299678915448,0.1450808743169399,0.07260137614678899
1980,0.09637940600100366,0.13881280159559248,0.1343585865724923,0.10165390976832335,0.10926023757459036,0.12014598517608227,0.1288267328269976,0.10812333875350723,0.09900600666202414,0.1135020061707358,0.12353769406815002,0.09307958880507464,0.14721406666951548,0.06925620057125141,0.15787152164564341,0.0866507962998131,0.07515108819017237,0.13352214380430755,0.11227730592826946,0.11837269289718612,0.16844989376104305,0.09599217489076745,0.09540567383496275,0.12581261115086823,0.09637117773288174,0.09896008407169712,0.09315010357369904,0.14996060869925779,0.07649788510431312
1981,0.09565309136948723,0.1353366571699905,0.14133811862485832,0.09722562943834732,0.10956839272457312,0.12427128862094951,0.12432509120389136,0.10850860982780344,0.09110336626417856,0.13233009708737864,0.12157688919010505,0.09417213416881681,0.1476415794802565,0.0711556951652554,0.152824785794114,0.08405266497461929,0.0740214093054619,0.13206453884064773,0.11273226791165379,0.11728097062579822,0.16103521542396224,0.09090093847758081,0.09476147739040387,0.12275416848537757,0.09508557457212714,0.09827962206332992,0.09074273231389682,0.13093258426966292,0.07614734088927637
1982,0.08905246589716684,0.12608174322732627,0.13193318233295584,0.1049298079949638,0.09924863312019275,0.1328307579102281,0.11413740252756117,0.09945514950166114,0.08890330835313472,0.12472602739726027,0.1265803664921466,0.08558095064651247,0.1421185550082102,0.07175893100627216,0.14652867658954863,0.07935435056746531,0.06938702064896755,0.12111840562719813,0.10451445291718389,0.1090139549635268,0.14964640937019968,0.08192849740932642,0.08302822719449225,0.11715583508036338,0.08942051778369223,0.09294445853411108,0.09117129091211165,0.13212676056338027,0.07769882147533828
1983,0.08534182277415281,0.1219946511627907,0.12552704733283246,0.09903395997574288,0.09061734598920529,0.12723588277340958,0.10373058382431709,0.09094515463917525,0.08289961671837927,0.12077870563674321,0.11862420503688628,0.07960918918918919,0.1330114686205798,0.06910796984383415,0.13424982124414078,0.07602066374452097,0.06419562841530055,0.10790938661710037,0.09029954640614096,0.09994805608667941,0.13592659176029961,0.07758543983822043,0.07866368330464717,0.11119127633640954,0.08092471042471043,0.08226900732508209,0.08394475501479777,0.11666862170087977,0.07019415807560138
1984,0.08368023499790181,0.12245044837893769,0.12534517576664173,0.09835597331716192,0.08592131696428572,0.12516783707865167,0.09748569527611443,0.08717186218211649,0.07886613313932339,0.122836,0.12110232034523735,0.076055535841022,0.12992542479546884,0.05953102336825141,0.1301239559753337,0.07017247820672479,0.06146651541887237,0.10491124396412968,0.09016892239163954,0.09293722257450857,0.13676603498542275,0.07374525474525474,0.07627010309278351,0.10627078446703153,0.07709802979336858,0.07826917293233082,0.08119156528791566,0.11017805582290664,0.06753810131971051
1985,0.08055162303664921,0.13098480381038785,0.13515519166356532,0.10897637079672827,0.08417954206999255,0.1299489655172414,0.10227267918540069,0.08782816326530613,0.0786384797235861,0.11806909788867562,0.13187367135003053,0.07597914475990186,0.1389603837821108,0.05927079978529254,0.13113438270434288,0.07408032378580323,0.06100497764279086,0.10812659380692168,0.10240378179384203,0.09447227473219912,0.15182456449058596,0.07844676616915423,0.07917094313453536,0.10657824013870829,0.08294943954209397,0.07910967421039543,0.08274292565947242,0.10454079696394687,0.07194573972022043
1986,0.08218244514106583,0.13800851445216222,0.14213899184581172,0.12096006051437216,0.08762620907738095,0.13278431372549018,0.10521706036745407,0.09688744412840308,0.07743986191860465,0.1253614232209738,0.14870075530511928,0.07759011577674096,0.14122344658708294,0.062238197424892706,0.13598013416848895,0.07729349186483103,0.06231028681974935,0.11271857494958548,0.10938122542595019,0.09690718093446221,0.16490749464668095,0.08441874376869392,0.08332620133286567,0.11169487557443857,0.08755102040816326,0.08603923019985196,0.08695972200284316,0.11388512241054614,0.07874451939291736
1987,0.08363865196588309,0.14081974438078448,0.1398531571218796,0.12108068459657702,0.09198201038575668,0.13117866666666667,0.10558133472367048,0.09840710823909532,0.0827018622310613,0.10816761904761905,0.15495532789326344,0.0795794376693767,0.1295409587378641,0.06574966460960559,0.13079608140837942,0.08280112923462986,0.06350879691689008,0.11015810363836824,0.11610880745740919,0.10022609778885083,0.1703846793645513,0.0833567134268537,0.08308997882851094,0.10874227249179762,0.0926156382477626,0.0892747979426892,0.0933226259161079,0.11683841181902124,0.08514530988274707
1988,0.07970234664470975,0.142661182074042,0.14161218533381978,0.11232485442844009,0.09334142752023547,0.13239933774834436,0.10624935233160622,0.09794893445918777,0.08332914798206278,0.09866471734892787,0.1609157926102503,0.08389042695130086,0.12405592705167173,0.0627992475141091,0.13337787560352174,0.08299625234228607,0.06384568055209112,0.11474052540913006,0.1267898765817841,0.1022820117247763,0.1787577765209663,0.07967267267267267,0.08185462244177841,0.11284831947331947,0.08658848118903856,0.09146304821904531,0.0975642047195832,0.12015827996340347,0.0846094137076796
