State_Abbr,number,averaged_Degree_of_Shortage,averaged_HPSA_Score,MIN(Designation_Date),MAX(Designation_Date),AVG(Designation_Date),MIN(HPSA_Withdrawn_Date),MAX(HPSA_Withdrawn_Date),AVG(HPSA_Withdrawn_Date),bnd_max_desig_year,bnd_avg_withdr_year,pvals_max_des_date,av_crime_A_max_des,av_crime_B_max_des,av_crime_A_wd,av_crime_B_wd,pvals_ave_withdraw_date
WI,1,12.0,21.0,2009-11-18,2009-11-18,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,1.0192265698370678e-09,0.07601476620463421,0.0458563670609603,0.07055488687580294,0.0364124006193031,0.00044000395407472407
WA,1,12.0,12.0,2009-11-18,2009-11-18,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,3.483573466911697e-10,0.11714197497664974,0.07334846619861156,0.10900073949379464,0.06240183740095908,0.0008614043276595928
OR,1,12.0,12.0,2009-11-18,2009-11-18,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,4.505153345909671e-09,0.11404721981587851,0.06558332561344375,0.10438715064046412,0.061927173687337994,0.010422710243519302
OK,2,12.0,12.0,2009-11-18,2009-11-18,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,1.7523990501126007e-10,0.10139964630808078,0.07082236252874315,0.0955112151950282,0.06583254358685955,0.002413369591567552
OH,1,12.0,12.0,2015-10-05,2015-10-05,2015.0,2019-06-25,2019-06-25,2019.0,2015,2017,2.0703879344379552e-07,0.08517112748613391,0.0505879421419234,0.08368352676626545,0.04687129460407307,3.2099296583262044e-05
NM,1,12.0,21.0,2016-09-01,2016-09-01,2016.0,2019-06-25,2019-06-25,2019.0,2016,2017,0.005646694779696098,0.11234061897076908,0.08283050457891032,0.11186893651542847,0.0791256717010521,0.007211388094818894
NJ,1,12.0,12.0,2009-11-17,2009-11-17,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,2.193113609875746e-07,0.08664059179110574,0.03885404996625442,0.07750997522538626,0.030121287121004255,0.007334127772636066
KS,1,12.0,18.0,2009-11-17,2009-11-17,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,2.605553625215593e-12,0.0937900840351462,0.06343772102484578,0.08811816572925735,0.056233024307266344,0.00043550587086316645
IN,1,12.0,12.0,2007-01-12,2007-01-12,2007.0,2019-06-25,2019-06-25,2019.0,2007,2017,2.669135971305562e-10,0.08431926611919183,0.06068952723117289,0.07931643585279774,0.04696052440089966,1.942417180349048e-05
AK,1,12.0,12.0,2016-10-20,2016-10-20,2016.0,2017-06-26,2017-06-26,2017.0,2016,2015,0.07177118743520303,0.09660027695501669,0.07754857965776982,0.09695758554130267,0.07871483557870303,0.05655027194252143
TX,35,10.817142857142859,15.428571428571429,2004-12-23,2017-06-14,2015.2857142857142,2019-06-25,2019-06-25,2019.0,2017,2017,0.0021440649019751666,0.10962832375329366,0.055499962084280506,0.10962832375329366,0.055499962084280506,0.0021440649019751666
VA,13,10.153846153846153,15.23076923076923,2008-10-21,2016-11-22,2014.8461538461538,2019-06-25,2019-06-25,2019.0,2016,2017,0.0003241585699467108,0.0693599377348923,0.03717887480142125,0.06861583540313453,0.036125184136448524,0.0017821066080170422
CO,2,9.0,18.0,2015-11-23,2015-12-23,2015.0,2019-06-25,2019-06-25,2019.0,2015,2017,0.009397671883092701,0.0997117864792333,0.062357300938687354,0.09777406956792015,0.0626446304253943,0.05674542284538033
KY,2,6.35,13.5,2006-11-29,2009-11-17,2007.5,2019-06-25,2019-06-25,2019.0,2009,2017,1.0702673523079203e-08,0.06266725722254422,0.049703189125079456,0.060548865059634936,0.04267143898299388,2.112856937814595e-05
CA,11,6.009090909090909,10.909090909090908,2000-08-31,2012-10-16,2004.2727272727273,2019-06-25,2019-06-25,2019.0,2012,2017,0.00013881538047170536,0.10632672438884165,0.057949434400030184,0.10036225535824268,0.0548587151497977,0.026605919628827954
